DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsFullReplicaFor,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,msDS-AuthenticatedAtDC,member,managedObjects,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dNSProperty,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,givenName,userPrincipalName,msDS-PSOApplied,msDS-MaximumPasswordAge,msDS-MinimumPasswordAge,msDS-MinimumPasswordLength,msDS-PasswordHistoryLength,msDS-PasswordComplexityEnabled,msDS-PasswordReversibleEncryptionEnabled,msDS-LockoutObservationWindow,msDS-LockoutDuration,msDS-LockoutThreshold,msDS-PSOAppliesTo,msDS-PasswordSettingsPrecedence,lastSetTime,priorSetTime,managedBy,msDS-KrbTgtLink,msDS-RevealedUsers,msDS-NeverRevealGroup,msDS-RevealOnDemandGroup,msDS-RevealedDSAs,msDS-AuthenticatedToAccountlist,msDS-SecondaryKrbTgtNumber,msDS-KrbTgtLinkBl,sn,l,department,company,gPCUserExtensionNames,uNCName,serverName,portName,driverName,priority,printStartTime,printEndTime,printBinNames,printMaxResolutionSupported,printOrientationsSupported,printCollate,printColor,printLanguage,printShareName,printSpooling,printKeepPrintedJobs,driverVersion,printMaxXExtent,printMaxYExtent,printMinXExtent,printMinYExtent,printStaplingSupported,printMemory,printRateUnit,printMediaReady,printNumberUp,printMediaSupported,printerName,url,shortServerName,printDuplexSupported,printAttributes,msDFS-SchemaMajorVersion,msDFS-SchemaMinorVersion,msDFS-GenerationGUIDv2,msDFS-NamespaceIdentityGUIDv2,msDFS-LastModifiedv2,msDFS-Ttlv2,msDFS-Propertiesv2,msDFS-TargetListv2,msDFSR-TombstoneExpiryInMin,msDFSR-Schedule,msDFSR-RootSizeInMb,msDFSR-StagingSizeInMb,msDFSR-ConflictPath,msDFSR-ConflictSizeInMb,msDFSR-CachePolicy,msDFSR-MinDurationCacheInMin,msDFSR-MaxAgeInCacheInMin,fromServer,msDFSR-RdcEnabled,msDFSR-RdcMinFileSizeInKb
"CN=Tim Kim,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Tim Kim,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41608,,,43132,Tim Kim,X'a7b843913464194db3cd72bea1330bb5',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f10b050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Tim Kim,,,,,Tim Kim,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195212701850,513,,9223372036854775807,0,Tim,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kim,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Russell King,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Russell King,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41611,,,43135,Russell King,X'25dd60c8ce11174795bb273c5b773bb0',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f10c050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Russell King,,,,,Russell King,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195213170305,513,,9223372036854775807,0,Russell,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell,Russell@csa.local,,,,,,,,,,,,,,,,,,,,,,,,King,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Anton Kirilov,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Anton Kirilov,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41614,,,43138,Anton Kirilov,X'ffaa5461f6486b408c13b282d23a9419',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f10d050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Anton Kirilov,,,,,Anton Kirilov,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195213482808,513,,9223372036854775807,0,Anton,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anton,Anton@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kirilov,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Petr Klement,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Petr Klement,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41617,,,43141,Petr Klement,X'300bc5690b4fb343a23cb90ae541d714',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f10e050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Petr Klement,,,,,Petr Klement,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195213951563,513,,9223372036854775807,0,Petr,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petr,Petr@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Klement,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Reed Koch,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Reed Koch,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41620,,,43144,Reed Koch,X'317c0a476b74714c81355d14548c8eb6',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f10f050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Reed Koch,,,,,Reed Koch,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195214420301,513,,9223372036854775807,0,Reed,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reed,Reed@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Koch,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Eugene Kogan,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Eugene Kogan,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41623,,,43147,Eugene Kogan,X'a85a0e45c522c7488b560e42514c705c',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f110050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Eugene Kogan,,,,,Eugene Kogan,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195214732800,513,,9223372036854775807,0,Eugene,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugene,Eugene@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kogan,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Franz Kohl,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Franz Kohl,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41626,,,43150,Franz Kohl,X'95443966da998945b64c0da22ea0ef27',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f111050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Franz Kohl,,,,,Franz Kohl,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195215201560,513,,9223372036854775807,0,Franz,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franz,Franz@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kohl,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Ivan Komashinsky,OU=Research,OU=firm,DC=csa,DC=local",user,"CN=Ivan Komashinsky,OU=Research,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41629,,,43153,Ivan Komashinsky,X'70fbd890fad69444b8ded6cad9766096',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f112050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Ivan Komashinsky,,,,,Ivan Komashinsky,,,,,,,,,,,,,,,,,,"CN=Research,OU=Research,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195215514067,513,,9223372036854775807,0,Ivan,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan,Ivan@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Komashinsky,London,Research,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Sarunas Koncius,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Sarunas Koncius,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41632,,,43156,Sarunas Koncius,X'c272efa8f2d00446ab91b3f04fb2aa6b',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f113050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Sarunas Koncius,,,,,Sarunas Koncius,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195215983123,513,,9223372036854775807,0,Sarunas,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarunas,Sarunas@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Koncius,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Dariusz Korzun,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Dariusz Korzun,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41635,,,43159,Dariusz Korzun,X'601128334116b441b65b5d498caae911',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f114050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Dariusz Korzun,,,,,Dariusz Korzun,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195216295307,513,,9223372036854775807,0,Dariusz,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dariusz,Dariusz@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Korzun,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Prakash Kovvuru,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Prakash Kovvuru,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41638,,,43162,Prakash Kovvuru,X'65ddcc9b95fb0c4e8f080aed8f674265',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f115050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Prakash Kovvuru,,,,,Prakash Kovvuru,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195216764046,513,,9223372036854775807,0,Prakash,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prakash,Prakash@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kovvuru,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Renata Krausova,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Renata Krausova,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41641,,,43165,Renata Krausova,X'f9b9f1aac58b8242a533bcbe4616412c',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f116050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Renata Krausova,,,,,Renata Krausova,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195217076554,513,,9223372036854775807,0,Renata,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renata,Renata@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Krausova,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Joseph Krawczak,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Joseph Krawczak,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41644,,,43168,Joseph Krawczak,X'ec1d507d1acbcb4c8fb35078a850aa3a',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f117050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Joseph Krawczak,,,,,Joseph Krawczak,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195217545294,513,,9223372036854775807,0,Joseph,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,Joseph@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Krawczak,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Deepak Kumar,OU=Research,OU=firm,DC=csa,DC=local",user,"CN=Deepak Kumar,OU=Research,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41647,,,43171,Deepak Kumar,X'33b47c006e426f4082169dd61da1bca7',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f118050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Deepak Kumar,,,,,Deepak Kumar,,,,,,,,,,,,,,,,,,"CN=Research,OU=Research,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195217857802,513,,9223372036854775807,0,Deepak,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepak,Deepak@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kumar,London,Research,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Vamsi Kuppa,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Vamsi Kuppa,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41650,,,43174,Vamsi Kuppa,X'54d133c67fd34c44affb29f5b1e05bee',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f119050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Vamsi Kuppa,,,,,Vamsi Kuppa,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195218326534,513,,9223372036854775807,0,Vamsi,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vamsi,Vamsi@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kuppa,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Benno Kurmann,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Benno Kurmann,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41653,,,43177,Benno Kurmann,X'3363721dec2cba449b84ce25aa7436a3',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11a050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Benno Kurmann,,,,,Benno Kurmann,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195218640074,513,,9223372036854775807,0,Benno,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benno,Benno@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kurmann,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Tomas Kutej,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Tomas Kutej,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41656,,,43180,Tomas Kutej,X'181d912a2b2ed645abc4b3c5cd396ce2',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11b050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Tomas Kutej,,,,,Tomas Kutej,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195219108109,513,,9223372036854775807,0,Tomas,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomas,Tomas@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Kutej,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Lawrence Lam,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Lawrence Lam,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075201.0Z,,41659,,,43183,Lawrence Lam,X'3ae799d7d4fe1f4e8be76cd2d696ed21',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11c050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Lawrence Lam,,,,,Lawrence Lam,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195219420285,513,,9223372036854775807,0,Lawrence,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawrence,Lawrence@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Lam,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Karin Lamb,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Karin Lamb,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075202.0Z,,41662,,,43186,Karin Lamb,X'a14306ab41e41747b6e6a84dd98affcd',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11d050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Karin Lamb,,,,,Karin Lamb,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195219889032,513,,9223372036854775807,0,Karin,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karin,Karin@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Lamb,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Karina Leal,OU=Marketing,OU=firm,DC=csa,DC=local",user,"CN=Karina Leal,OU=Marketing,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075202.0Z,,41665,,,43189,Karina Leal,X'e264b45f202f5549a81a0c9128b8f5bc',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11e050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Karina Leal,,,,,Karina Leal,,,,,,,,,,,,,,,,,,"CN=Marketing,OU=Marketing,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195220201533,513,,9223372036854775807,0,Karina,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karina,Karina@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Leal,London,Marketing,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Oliver Lee,OU=Sales,OU=firm,DC=csa,DC=local",user,"CN=Oliver Lee,OU=Sales,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075202.0Z,,41668,,,43192,Oliver Lee,X'17159e0eb1f32e42a55a588aa257b9df',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f11f050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,20240516110655.0Z;16010101000001.0Z,,,,,,,,,,,,,,Oliver Lee,,,,,Oliver Lee,,,,,,,,,,,,,,,,,,"CN=Sales,OU=Sales,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195220670278,513,,9223372036854775807,0,Oliver,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver,Oliver@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Lee,London,Sales,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Danny Levin,OU=Development,OU=firm,DC=csa,DC=local",user,"CN=Danny Levin,OU=Development,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075202.0Z,,41671,,,43195,Danny Levin,X'cb8ecc31b61972448acb89a868681fc6',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f120050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Danny Levin,,,,,Danny Levin,,,,,,,,,,,,,,,,,,"CN=Development,OU=Development,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195220982778,513,,9223372036854775807,0,Danny,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny,Danny@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Levin,London,Development,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Judy Lew,OU=Managers,OU=firm,DC=csa,DC=local",user,"CN=Judy Lew,OU=Managers,OU=firm,DC=csa,DC=local",4,20240516075146.0Z,20240516075202.0Z,,41674,,,43198,Judy Lew,X'b7ffbbfc8089984985995763740a8dec',,,,,,,,,,,,,,X'0105000000000005150000005b6cb5bee98e9700756f53f121050000',,,,,,,,,,"CN=Person,CN=Schema,CN=Configuration,DC=csa,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,,Judy Lew,,,,,Judy Lew,,,,,,,,,,,,,,,,,,"CN=Managers,OU=Managers,OU=firm,DC=csa,DC=local",544,0,0,0,0,0,0,133603195221451520,513,,9223372036854775807,0,Judy,805306368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judy,Judy@csa.local,,,,,,,,,,,,,,,,,,,,,,,,Lew,London,Managers,A. Datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
